Time,Country Name,"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],People using at least basic sanitation services (% of population) [SH.STA.BASS.ZS],People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS]
2008,Middle East & North Africa,72.0913337214815,3.9716019121496,85.9847217285307,90.5947371933
2008,Latin America & Caribbean,73.7041565686137,6.99990199625066,80.7669368091908,93.7271003177083
2008,Europe & Central Asia,75.2434324056314,8.63993378862768,94.6803727935283,97.4616642579692
2008,East Asia & Pacific,73.469895503291,5.94419663545222,73.0716615345382,87.3871336297784
2009,Sub-Saharan Africa,55.9611181532545,5.29736669137275,26.9722121214121,53.4928712384821
2009,South Asia,66.4278566886815,3.41345260186136,40.7553465830516,85.867094654483
2009,North America,78.6477282693838,15.79944581461,99.8517875239961,98.9172376149447
2009,Middle East & North Africa,72.325994038037,5.04105125088097,86.5536136581976,90.9923597226184
2009,Latin America & Caribbean,73.9041864986615,7.60413405776148,81.5023839623534,94.0700633214703
2009,Europe & Central Asia,75.643044803955,9.45131933655812,94.9149843454484,97.5191325834327
2009,East Asia & Pacific,73.7591251644885,6.43576096290443,74.6675593227986,88.0654682016843
2010,Sub-Saharan Africa,56.7254700213101,5.22709198850749,27.5338072119742,54.5531058639871
2010,South Asia,66.8487685017748,3.24771000921487,43.3211211027456,86.3279762749724
2010,North America,78.8094555298644,15.7940803305587,99.828233983821,99.0046189305832
2010,Middle East & North Africa,72.5391836226179,4.73783817448167,87.1045485568288,91.3781537602746
2010,Latin America & Caribbean,74.0972202511906,7.32882498682718,82.2332207194881,94.4071977357392
2010,Europe & Central Asia,75.9440185226778,9.22099615800115,95.147794798382,97.5868386940949
2010,East Asia & Pacific,74.0129991679213,6.31924486004096,76.245584801694,88.7238006518214
2011,Sub-Saharan Africa,57.4560020826615,5.10825142786471,27.8676423807982,55.4476007561797
2011,South Asia,67.2583161942665,3.20142335168495,45.8942968433542,86.7840478005089
2011,North America,78.9205589068046,15.683214053707,99.8049367741964,99.0910230153862
2011,Middle East & North Africa,72.7374924061445,4.65289294750148,87.6392401759363,91.7456381652142
2011,Latin America & Caribbean,74.2831175178127,7.25930245936691,82.9641887435959,94.7404008309719
2011,Europe & Central Asia,76.4599786968568,9.05964189125108,95.3724440754371,97.6509303843283
2011,East Asia & Pacific,74.2659488199005,6.75059183835627,77.7957057780332,89.353370910697
2012,Sub-Saharan Africa,58.1495777077899,4.99377676354319,28.4397415754816,56.4846511665412
2012,South Asia,67.6463375441787,3.2570522702299,48.4732179295646,87.2368919601707
2012,North America,79.0314779893629,15.6912279125761,99.781826578832,99.1762601245284
2012,Middle East & North Africa,72.931661173815,4.70574743000881,88.1396152329377,92.1187493362394
2012,Latin America & Caribbean,74.4614544439901,7.23587563807617,83.6917891470191,95.068513827516
2012,Europe & Central Asia,76.6233615977834,9.06610225775159,95.5999918590998,97.7179645188288
2012,East Asia & Pacific,74.5621290937999,6.80989668520884,79.3268593319316,89.9613284347487
2013,Sub-Saharan Africa,58.8013862401098,4.9623469758692,29.0184151033215,57.5225606801755
2013,South Asia,68.0077154272803,3.62522476056939,51.0624849000203,87.687576608922
2013,North America,79.0422100128331,15.6286395693561,99.7589964342934,99.2604318705029
2013,Middle East & North Africa,73.1323973194867,4.7038070336953,88.6381820253083,92.4862626321735
2013,Latin America & Caribbean,74.632797924154,7.32289715732457,84.4102117821654,95.3837752246504
2013,Europe & Central Asia,76.9556183964943,9.10515066182339,95.8232937179924,97.799812161149
2013,East Asia & Pacific,74.8482167217353,6.5791626437351,80.8418446512996,90.5506126999027
